iter	Logloss	Accuracy
292	0.3972900544	0.8251918365
293	0.3972333254	0.8252390612
294	0.3971906226	0.8252577314
295	0.3971524293	0.8252818929
296	0.3971327385	0.8253005631
297	0.3971057457	0.8253291175
298	0.3970776492	0.8253368053
299	0.3970338767	0.8253587702
300	0.3970133556	0.8253730475
301	0.3969892909	0.8253785387
302	0.3969629659	0.8254235669
303	0.3968583226	0.8254740863
304	0.3968316904	0.8254806758
305	0.3968053885	0.8254609073
306	0.3967853513	0.8254850688
307	0.3966883317	0.8255289987
308	0.3966696887	0.8255498654
309	0.3966419626	0.8255707321
310	0.3966190443	0.8255981883
311	0.3965796564	0.825654199
312	0.396547694	0.8256399218
313	0.3964886574	0.825658592
314	0.3964596213	0.8256739675
315	0.3964235697	0.8256750657
316	0.3963958251	0.8257189956
317	0.3963702297	0.8257431571
318	0.3963499962	0.8257651221
319	0.3962969837	0.8258101502
320	0.3962676245	0.8258068555
321	0.3962483706	0.8258244275
322	0.3962325367	0.8258650626
323	0.3962124675	0.8258760451
324	0.396188354	0.8258837329
325	0.3961781075	0.8258793399
326	0.3961654478	0.8259298593
327	0.396136583	0.8259814769
328	0.3961156635	0.8259836734
329	0.3960964105	0.8260078349
330	0.3960364828	0.8260605508
331	0.3960223648	0.8260594526
332	0.3959705912	0.826118758
333	0.3959553697	0.8260814175
334	0.3959327303	0.8260693368
335	0.3959083677	0.8260825158
336	0.3958890476	0.8260803193
337	0.3958761137	0.8260847123
338	0.3958491426	0.8260913018
339	0.3958220078	0.8261088737
340	0.3957945397	0.826127544
341	0.3957705464	0.8261506072
342	0.3957466985	0.8261824564
343	0.395727605	0.8262132073
344	0.3957085012	0.8261703756
345	0.3956876541	0.8261857511
346	0.3956667848	0.8262395653
347	0.3956449162	0.8262373688
348	0.3956191915	0.8262758075
349	0.3955922549	0.8263252286
350	0.3955620595	0.8263021654
351	0.3955416685	0.8263065584
352	0.39551652	0.8262878882
353	0.3954530491	0.8263735515
354	0.3954334812	0.8263900253
355	0.3954098312	0.826384534
356	0.3953845237	0.8263922218
357	0.3953587313	0.8263768463
358	0.3953013431	0.8263999095
359	0.3952838211	0.8264218745
360	0.3952680827	0.8264207762
361	0.3952504112	0.826415285
362	0.3952342749	0.8264669026
363	0.3952127532	0.8264482324
364	0.3951847663	0.8264877694
365	0.3951524469	0.8264976536
366	0.3951292435	0.8265207168
367	0.3951136946	0.8265141273
368	0.3950924751	0.826526208
369	0.3950748205	0.826526208
370	0.3950468026	0.826526208
371	0.3950315413	0.8265503695
372	0.3950144692	0.8265580572
373	0.3949924334	0.826583317
374	0.3949754836	0.8265800222
375	0.3949545452	0.8265899064
376	0.3949319279	0.8266316399
377	0.3949121471	0.8266634891
378	0.3948893773	0.826676668
379	0.3948704496	0.8266887488
380	0.3948240266	0.8267436612
381	0.3948033614	0.8267590367
382	0.3947701087	0.8267831981
383	0.394738128	0.8268128508
384	0.394595957	0.8269347564
385	0.3945773374	0.8269435424
386	0.3945521652	0.8269677038
387	0.3945283858	0.8269885705
388	0.3945105246	0.8269786863
389	0.3944265571	0.8270204197
390	0.3943859161	0.8270566619
391	0.3943515722	0.8270885111
392	0.3943234803	0.8271104761
393	0.3943105175	0.8271159673
394	0.3943042433	0.827132441
395	0.3942837785	0.8271555043
396	0.3942677625	0.8271522095
397	0.394251341	0.827158799
