iter	Passed	Remaining
806	26054	6231
807	26090	6199
808	26120	6166
809	26150	6134
810	26179	6101
811	26209	6068
812	26239	6035
813	26272	6003
814	26302	5970
815	26330	5937
816	26360	5904
817	26388	5871
818	26418	5838
819	26448	5805
820	26478	5773
821	26511	5740
822	26541	5708
823	26570	5675
824	26642	5651
825	26672	5618
826	26704	5586
827	26732	5553
828	26762	5520
829	26791	5487
830	26823	5454
831	26854	5422
832	26881	5389
833	26912	5356
834	26943	5324
835	26964	5289
836	26995	5257
837	27026	5224
838	27057	5192
839	27094	5160
840	27131	5129
841	27160	5096
842	27191	5064
843	27222	5031
844	27258	5000
845	27284	4966
846	27315	4934
847	27346	4901
848	27380	4869
849	27407	4836
850	27437	4803
851	27466	4771
852	27504	4739
853	27542	4708
854	27573	4676
855	27602	4643
856	27668	4616
857	27703	4585
858	27738	4553
859	27769	4520
860	27799	4487
861	27832	4455
862	27866	4423
863	27904	4392
864	27939	4360
865	27974	4328
866	28010	4296
867	28044	4264
868	28078	4232
869	28128	4203
870	28166	4171
871	28205	4140
872	28244	4108
873	28283	4077
874	28317	4045
875	28353	4013
876	28379	3980
877	28412	3948
878	28455	3917
879	28496	3885
880	28535	3854
881	28571	3822
882	28607	3790
883	28643	3758
884	28711	3730
885	28746	3698
886	28780	3666
887	28816	3634
888	28853	3602
889	28891	3570
890	28928	3538
891	28943	3504
892	28974	3471
893	29003	3438
894	29032	3406
895	29062	3373
896	29092	3340
897	29121	3307
898	29158	3275
899	29197	3244
900	29232	3212
901	29264	3179
902	29293	3146
903	29321	3113
904	29353	3081
905	29382	3048
906	29413	3015
907	29444	2983
908	29475	2950
909	29506	2918
910	29526	2884
911	29557	2852
912	29570	2817
913	29600	2785
914	29629	2752
915	29659	2719
916	29689	2687
917	29760	2658
918	29794	2626
919	29824	2593
920	29854	2560
921	29887	2528
922	29917	2495
923	29949	2463
924	29980	2430
925	30008	2398
926	30040	2365
927	30078	2333
928	30111	2301
929	30141	2268
930	30171	2236
931	30208	2204
932	30242	2171
933	30275	2139
934	30304	2106
935	30334	2074
936	30363	2041
937	30392	2008
938	30422	1976
939	30451	1943
940	30482	1911
941	30512	1878
942	30531	1845
943	30561	1812
944	30574	1779
945	30604	1747
946	30634	1714
947	30662	1681
948	30692	1649
949	30720	1616
950	30789	1586
951	30821	1554
952	30851	1521
953	30880	1488
954	30909	1456
955	30939	1423
956	30969	1391
957	31006	1359
958	31039	1327
959	31069	1294
960	31099	1262
961	31128	1229
962	31158	1197
963	31188	1164
964	31219	1132
965	31258	1100
966	31292	1067
967	31325	1035
968	31354	1003
969	31384	970
970	31411	938
971	31442	905
972	31474	873
973	31504	840
974	31535	808
975	31565	776
976	31595	743
977	31625	711
978	31655	679
979	31685	646
980	31712	614
981	31742	581
982	31771	549
983	31837	517
984	31943	486
985	31977	454
986	32009	421
987	32041	389
988	32071	356
989	32099	324
990	32127	291
991	32147	259
992	32170	226
993	32201	194
994	32232	161
995	32260	129
996	32291	97
997	32319	64
998	32350	32
999	32389	0
