iter	Passed	Remaining
729	171410	63398
730	171625	63156
731	171869	62925
732	172091	62685
733	172339	62455
734	172555	62214
735	172773	61972
736	173006	61737
737	173247	61505
738	173502	61277
739	173725	61038
740	173982	60811
741	174223	60578
742	174473	60349
743	174696	60110
744	174944	59880
745	175183	59646
746	175400	59405
747	175643	59174
748	175863	58934
749	176087	58695
750	176326	58462
751	176540	58220
752	176765	57982
753	176978	57741
754	177208	57504
755	177432	57266
756	177689	57038
757	177903	56797
758	178134	56561
759	178370	56327
760	178594	56089
761	178846	55860
762	179070	55622
763	179296	55384
764	179519	55146
765	179730	54904
766	179971	54671
767	180186	54431
768	180417	54195
769	180638	53956
770	180894	53728
771	181115	53489
772	181337	53251
773	181559	53013
774	181778	52774
775	182033	52545
776	182243	52304
777	182481	52070
778	182717	51836
779	182958	51603
780	183213	51374
781	183458	51143
782	183694	50908
783	183921	50672
784	184148	50435
785	184367	50196
786	184599	49961
787	184820	49723
788	185027	49481
789	185260	49246
790	185499	49013
791	185708	48771
792	185968	48544
793	186190	48306
794	186429	48072
795	186644	47833
796	186896	47603
797	187105	47362
798	187323	47124
799	187556	46889
800	187788	46654
801	188025	46420
802	188246	46182
803	188492	45950
804	188729	45717
805	188952	45479
806	189190	45246
807	189412	45008
808	189671	44780
809	189915	44548
810	190157	44315
811	190392	44081
812	190626	43846
813	190890	43618
814	191111	43381
815	191340	43145
816	191563	42908
817	191811	42676
818	192034	42439
819	192264	42204
820	192469	41963
821	192710	41730
822	192963	41499
823	193179	41261
824	193416	41027
825	193625	40787
826	193883	40558
827	194092	40318
828	194329	40084
829	194559	39849
830	194784	39613
831	195036	39382
832	195255	39144
833	195486	38909
834	195715	38674
835	195936	38437
836	196174	38203
837	196405	37968
838	196642	37734
839	196858	37496
840	197130	37269
841	197356	37033
842	197576	36796
843	197794	36559
844	198010	36321
845	198265	36090
846	198476	35852
847	198705	35617
848	198941	35383
849	199167	35147
850	199395	34911
851	199605	34673
852	199848	34440
853	200076	34205
854	200310	33970
855	200540	33735
856	200767	33500
857	201002	33266
858	201224	33029
859	201473	32797
860	201693	32561
861	201936	32328
862	202166	32093
863	202397	31858
864	202632	31624
865	202855	31388
866	203108	31157
867	203333	30921
868	203562	30686
869	203804	30453
870	204023	30216
871	204271	29984
872	204488	29748
873	204736	29515
874	204992	29284
875	205267	29056
876	205507	28822
877	205743	28588
878	205997	28356
879	206252	28125
